Menyambung WiFi......Tersambung!
Waktu sekarang: Mon Jun 30 15:12:14 2025
Sistem siap
FlowRate: 0.00 mL/min, Dose: 0.00 mL, Total: 0.00 mL
FlowRate: 0.00 mL/min, Dose: 0.00 mL, Total: 0.00 mL
FlowRate: 27.13 mL/min, Dose: 27.13 mL, Total: 27.13 mL
FlowRate: 71.82 mL/min, Dose: 98.95 mL, Total: 98.95 mL
FlowRate: 122.89 mL/min, Dose: 221.84 mL, Total: 221.84 mL
FlowRate: 82.99 mL/min, Dose: 304.84 mL, Total: 304.84 mL
FlowRate: 23.94 mL/min, Dose: 328.78 mL, Total: 328.78 mL
FlowRate: 92.57 mL/min, Dose: 421.34 mL, Total: 421.34 mL
FlowRate: 140.45 mL/min, Dose: 561.79 mL, Total: 561.79 mL
FlowRate: 75.01 mL/min, Dose: 636.80 mL, Total: 636.80 mL
FlowRate: 0.00 mL/min, Dose: 636.80 mL, Total: 636.80 mL
>>> Dosis tercatat ke file CSV <<<
--- ISI FILE /dose_log.csv ---
timestamp,latitude,longitude,dose_volume,total_volume
32,-6.1645663,106.8104645,541.04,541.04
70,-6.1643763,106.8107305,533.06,1074.11
79,-6.1643313,106.8107935,539.45,1613.56
88,-6.1642863,106.8108565,505.93,2119.49
98,-6.1642363,106.8109265,614.46,2733.95
118,-6.1641363,106.8110665,638.40,3372.35
130,-6.1640763,106.8111505,536.26,3908.60
14,-6.1646563,106.8103385,547.43,547.43
47,-6.1644913,106.8105695,608.08,1155.50
15,-6.1646513,106.8103455,572.96,572.96
39,-6.1645313,106.8105135,719.80,1292.76
23,-6.1646113,106.8104015,521.89,521.89
14,-6.1646563,106.8103385,525.08,525.08
38,-6.1645363,106.8105065,587.33,1112.41
15,-6.1646513,106.8103455,557.00,557.00
30,-6.1645763,106.8104505,587.33,1144.33
52,-6.1644663,106.8106045,577.75,1722.08
75,-6.1643513,106.8107655,555.41,2277.49
75,-6.1643513,106.8107655,555.41,2277.49
86,-6.1642963,106.8108425,673.51,2951.00
159,-6.1639313,106.8113535,515.51,3466.51
175,-6.1638513,106.8114655,563.39,4029.90
248,-6.1634863,106.8119765,536.26,4566.16
260,-6.1634263,106.8120605,582.54,5148.70
2025-06-30 15:12:34,-6.1646213,106.8103875,636.80,636.80
2025-06-30 15:12:49,-6.1645463,106.8104925,534.66,1171.46
2025-06-30 15:13:01,-6.1644863,106.8105765,667.13,1838.59
2025-06-30 15:13:15,-6.1644163,106.8106745,692.66,2531.26

--- SELESAI ---
FlowRate: 0.00 mL/min, Dose: 0.00 mL, Total: 2531.26 mL
